Stomatepia pindu
Sarotherodon lohbergeri
Konia dikume
Myaka myaka
Pungu maclareni
Sarotherodon linnellii
Piranga leucoptera
Piranga rubriceps
Piranga erythrocephala
Piranga bidentata
Piranga ludoviciana
Piranga olivacea
Piranga hepatica
Piranga flava
Piranga lutea
Piranga rubra
Piranga roseogularis
Magicicada tredecula
Magicicada septendecula
Magicicada tredecassini
Magicicada cassini
Magicicada tredecim
Magicicada neotredecim
Magicicada septendecim
Jaydia lineata
Ectophylla alba
Myotis frater
Rallus aquaticus
Gallirallus striatus
Hydrophasianus chirurgus
Polyplacotoma mediterranea
Nassarius jacksonianus
Nassarius javanus
Nassarius foveolatus
Nassarius sinarus
Crotalus adamanteus
Meloidogyne oryzae
Elephantulus edwardii
Styracaster yapensis
Pseudobagrus pratti
Hippocampus camelopardalis
Pseudis tocantins
Macromia daimoji
Podagricomela nigricollis
Otus sunia
Tragulus napu
Nassarius pullus
Nassarius conoidalis
Johnius borneensis
Umbonium thomasi
Kogia sima
Emydura macquarii
Chelodina steindachneri
Chelodina colliei
Elseya schultzei
Elseya novaeguineae
Elseya dentata
Elseya albagula
Chelodina canni
Chelodina burrungandjii
Chelodina novaeguineae
Elseya lavarackorum
Elseya irwini
Psittacara leucophthalmus
Hydrobates castro
Microtus agrestis
Helix pomatia
Gasterosteus aculeatus
Sitona obsoletus
Chiromantes dehaani
Neoeriocheir leptognathus
Cryptopone sauteri
Artamus cinereus
Chromodoris orientalis
Paratrypauchen microcephalus
Halichoeres nigrescens
Acentrogobius caninus
Abudefduf bengalensis
Encyrtus infelix
Henosepilachna vigintioctopunctata
Chaetocnema pelagica
Macrohaltica subplicata
Hoplasoma unicolor
Gavia arctica
Glossaulax reiniana
Nyctalus plancyi
Alpheus inopinatus
Isopachys gyldenstolpei
Blarinella wardi
Uropsilus andersoni
Eristalis tenax
Pomacea diffusa
Trochalopteron milnei
Sphenomorphus incognitus
Dendrocopos canicapillus
Charadrius alexandrinus
Stenocatantops splendens
Traulia nigritibialis
Cardellina canadensis
Anthus richardi
Pentacheles validus
Scopura longa
Zophobas atratus
Muntiacus feae
Engraulis mordax
Geochelone elegans
Turdus kessleri
Chloris sinica
Ixodes tasmani
Gigantometra gigas
Dolichoderus sibiricus
Elaphe dione
Corvus cornix cornix
Gyrodactylus gurleyi
Aratinga solstitialis
Guaruba guarouba
Greenidea psidii
Haliaeetus albicilla
Puma concolor
Mergus merganser
Holbrookia lacerata
Yuhina nigrimenta
Calidris ruficollis
Nanosesarma minutum
Metaplax longipes
Carpodacus rubicilloides
Xizicus maculatus
Cephalodiscus hodgsoni
Gallus gallus
Partulina redfieldi
Benthodytes marianensis
Acanthopagrus schlegelii x Pagrus major
Rhagologus leucostigma
Buccinum undatum
Mobula tarapacana
Rattus nitidus
Parus major
Chaetodon octofasciatus
Cheilodipterus quinquelineatus
Lophophorus impejanus
Chrysiptera biocellata
Microphysogobio sp. XZ-2015
Homatula berezowskii
Ceratophyllus wui
Heterorhabditis indica
Nycticebus coucang insularis
Oenanthe isabellina
Gallus gallus spadiceus
Peromyscus maniculatus bairdii
Gorilla gorilla
Epinephelus moara x Epinephelus tukula
Homo sapiens neanderthalensis
Apis laboriosa
Onchocerca ochengi
Mesoplodon densirostris
Mesoplodon europaeus
Limnonectes fujianensis
Penion maximus
Clithon retropictum
Halcampoides purpureus
Clavelina oblonga
Echinophyllia aspera
Halichondria panicea
Nodularia douglasiae
Hydrodamalis gigas
Eolophus roseicapillus
Ophiosteira antarctica
Ophioplinthus brevirima
Ophionotus victoriae
Ophioceres incipiens
Gorgonocephalus chilensis
Astrotoma agassizii
Ophioplinthus gelida
Cacatua pastinator
Neodon fuscus
Montipora efflorescens
Alveopora japonica
Portunus gracilimanus
Tremex columba
Simulium maculatum
Roisinitermes ebogoensis
Chiroteuthis picteti
Chiroteuthis picteti
Parabreviscolex niepini
Cosmoscarta dorsimacula
Cosmoscarta bispecularis
Glossobalanus marginatus
Erythrogenys gravivox
Indicator xanthonotus
Ardea insignis
Gobiopterus lacustris
Parasesarma affine
Aphis fabae mordvilkoi
Ochotona koslowi
Freyastera benthophila
Xiphidiopsis gurneyi
Mongoloniscus sinensis
Arcyptera meridionalis
Cerithidea obtusa
Rhyticeros undulatus
Orancistrocerus aterrimus
Suhpalacsa longialata
Tridacna derasa
Hippopus hippopus
Neohydatothrips samayunkur
Actinia equina
Steinernema abbasi
Cervus elaphus kansuensis
Conus betulinus
Heterodermia speciosa
Parmotrema ultralucens
Neogoniolithon spectabile
Synarthrophyton chejuense
Hycleus cichorii
Glyptothorax laosensis
Oostethus manadensis
Inflata indica
Dichotomius schiffleri
Ornithodoros sonrai
Budorcas taxicolor tibetana
Neotoma magister
Eudorcas thomsonii
Triaenodes tardus
Tachaea chinensis
Pteromalus puparum
Glyptothorax longinema
Glyptothorax lanceatus
Glyptothorax granosus
Dunckerocampus dactyliophorus
Prodotiscus insignis
Megalaima virens
Jynx ruficollis
Indicator maculatus
Anser albifrons frontalis
Ornithodoros coriaceus
Semibalanus balanoides
Callistoctopus luteus
Octopus cyanea
Perdix perdix
Falco amurensis
Solenaia rivularis
Ornithodoros hermsi
Ornithodoros parkeri
Ornithodoros turicata
Rhipicentor nuttalli
Carinotetraodon travancoricus
Tanakia latimarginata
Thryssa vitrirostris
Lanius tigrinus
Atlantisia rogersi
Sperchon plumifer
Cyathocotyle prussica
Sebastes aleutianus
Sebastes nigrocinctus
Sebastes rubrivinctus
Geospiza magnirostris
Sinocyclocheilus wumengshanensis
Amyrsidea minuta
Haemaphysalis hystricis
Mantella baroni
Idiocerus laurifoliae
Asio otus
Oligoryzomys stramineus
Macropus fuliginosus
Ichthyoxenos japonensis
Aulacophora lewisii
Monolepta quadriguttata
Ophraella communa
Apis andreniformis
Bothrops diporus
Bothrops pubescens
Pseudocrangonyx daejeonensis
Cylicocyclus radiatus
Idioscopus clypealis
Belzebub intermedius
Thalamita sima
Orithyia sinica
Talpa occidentalis
Mustelus mustelus
Echinoecus nipponicus
Lepidotrema longipenis
Epeorus herklotsi
Sinocyclocheilus tingi
Caridina indistincta A
Paradoxurus hermaphroditus
Micronecta sahlbergii
Anoplolepis gracilipes
Perumytilus purpuratus
Glyptothorax macromaculatus
Macrosteles quadrimaculatus
Nilssonia nigricans
Bourletiella arvalis
Sardinella lemuru
Bathymodiolus securiformis
Proechimys trinitatis
Proechimys steerei
Proechimys poliopus
Proechimys pattoni
