,tax_id,genome_id,no rank,superkingdom,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,cohort,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,tribe,genus,subgenus
Homo sapiens,9606,51,"cellular organisms, Opisthokonta, Eumetazoa, Bilateria, Deuterostomia, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Dipnotetrapodomorpha, Tetrapoda, Amniota, Theria, Eutheria, Boreoeutheria",Eukaryota,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,-,-,-,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,-,Homo,-
Apis mellifera,7460,48,"cellular organisms, Opisthokonta, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Mandibulata, Pancrustacea, Dicondylia",Eukaryota,Metazoa,Arthropoda,Hexapoda,-,Insecta,Pterygota,Neoptera,Holometabola,-,Hymenoptera,Apocrita,Aculeata,-,Apoidea,Apidae,Apinae,Apini,Apis,-
Bombus impatiens,132113,3415,"cellular organisms, Opisthokonta, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Mandibulata, Pancrustacea, Dicondylia",Eukaryota,Metazoa,Arthropoda,Hexapoda,-,Insecta,Pterygota,Neoptera,Holometabola,-,Hymenoptera,Apocrita,Aculeata,-,Apoidea,Apidae,Bombinae,Bombini,Bombus,Pyrobombus
Bombus terrestris,30195,2739,"cellular organisms, Opisthokonta, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Mandibulata, Pancrustacea, Dicondylia",Eukaryota,Metazoa,Arthropoda,Hexapoda,-,Insecta,Pterygota,Neoptera,Holometabola,-,Hymenoptera,Apocrita,Aculeata,-,Apoidea,Apidae,Bombinae,Bombini,Bombus,Bombus
Gorilla gorilla,9593,2156,"cellular organisms, Opisthokonta, Eumetazoa, Bilateria, Deuterostomia, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Dipnotetrapodomorpha, Tetrapoda, Amniota, Theria, Eutheria, Boreoeutheria",Eukaryota,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,-,-,-,Euarchontoglires,Primates,Haplorrhini,Simiiformes,Catarrhini,Hominoidea,Hominidae,Homininae,-,Gorilla,-
Escherichia coli,562,167,cellular organisms,Bacteria,-,Proteobacteria,-,-,Gammaproteobacteria,-,-,-,-,Enterobacterales,-,-,-,-,Enterobacteriaceae,-,-,Escherichia,-
Caenorhabditis elegans,6239,41,"cellular organisms, Opisthokonta, Eumetazoa, Bilateria, Protostomia, Ecdysozoa",Eukaryota,Metazoa,Nematoda,-,-,Chromadorea,-,-,-,-,Rhabditida,Rhabditina,Rhabditomorpha,-,Rhabditoidea,Rhabditidae,Peloderinae,-,Caenorhabditis,-
Mus musculus,10090,52,"cellular organisms, Opisthokonta, Eumetazoa, Bilateria, Deuterostomia, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Dipnotetrapodomorpha, Tetrapoda, Amniota, Theria, Eutheria, Boreoeutheria, Glires, Muroidea",Eukaryota,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,-,-,-,Euarchontoglires,Rodentia,Myomorpha,-,-,-,Muridae,Murinae,-,Mus,Mus
Equus caballus,9796,145,"cellular organisms, Opisthokonta, Eumetazoa, Bilateria, Deuterostomia, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Dipnotetrapodomorpha, Tetrapoda, Amniota, Theria, Eutheria, Boreoeutheria",Eukaryota,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,-,-,-,Laurasiatheria,Perissodactyla,-,-,-,-,Equidae,-,-,Equus,Equus
Bos taurus,9913,82,"cellular organisms, Opisthokonta, Eumetazoa, Bilateria, Deuterostomia, Vertebrata, Gnathostomata, Teleostomi, Euteleostomi, Dipnotetrapodomorpha, Tetrapoda, Amniota, Theria, Eutheria, Boreoeutheria, Cetartiodactyla",Eukaryota,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,-,-,-,Laurasiatheria,-,Ruminantia,Pecora,-,-,Bovidae,Bovinae,-,Bos,-
